"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43466-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","57.62916564941406","48","11600","SAC@MIL","MIL","SAC","GTD","Personal","","",""
"43466-55062","C","Nikola","Nikola Jokic","Jokic","45.647170732606135","53","11300","SA@DEN","DEN","SA","","","","",""
"43466-9488","SF","LeBron","LeBron James","James","51.79183773118623","49","10500","PHO@LAL","LAL","PHO","","","","",""
"43466-15755","PF","Anthony","Anthony Davis","Davis","52","44","10400","PHO@LAL","LAL","PHO","GTD","Finger","","",""
"43466-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","49.341175752527576","34","10000","MIN@TOR","MIN","TOR","","","","",""
"43466-84671","PG","Trae","Trae Young","Young","47.73333231608073","48","9500","ATL@ORL","ATL","ORL","","","","",""
"43466-84669","PG","Luka","Luka Doncic","Doncic","52.6534906431686","43","9300","UTA@DAL","DAL","UTA","O","Ankle","","",""
"43466-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","37.05","40","9000","UTA@DAL","DAL","UTA","","","","",""
"43466-84673","C","Deandre","Deandre Ayton","Ayton","41.53043531334919","23","9000","PHO@LAL","PHO","LAL","GTD","Ankle","","",""
"43466-14498","PG","Kyrie","Kyrie Irving","Irving","46.129998779296876","20","8700","BKN@IND","BKN","IND","O","Knee","","",""
"43466-14514","C","Nikola","Nikola Vucevic","Vucevic","41.0047607421875","42","8600","ATL@ORL","ORL","ATL","","","","",""
"43466-80817","PF","Bam","Bam Adebayo","Adebayo","40.15384615384615","52","8500","MIA@GS","MIA","GS","","","","",""
"43466-60021","SF","Pascal","Pascal Siakam","Siakam","40.835713704427086","42","8300","MIN@TOR","TOR","MIN","","","","",""
"43466-14528","SG","Jimmy","Jimmy Butler","Butler","42.70227328213778","44","8100","MIA@GS","MIA","GS","GTD","Shoulder","","",""
"43466-42202","PF","Christian","Christian Wood","Wood","21.63333429074755","51","8100","CHA@DET","DET","CHA","","","","",""
"43466-58460","SG","Devin","Devin Booker","Booker","40.2760009765625","50","8000","PHO@LAL","PHO","LAL","","","","",""
"43466-59358","PF","Domantas","Domantas Sabonis","Sabonis","41.42","50","7800","BKN@IND","IND","BKN","","","","",""
"43466-40203","C","Rudy","Rudy Gobert","Gobert","41.222001953125","50","7700","UTA@DAL","UTA","DAL","","","","",""
"43466-49116","SF","Andrew","Andrew Wiggins","Wiggins","36.51627793422965","43","7700","MIA@GS","GS","MIA","","","","",""
"43466-80810","PG","De'Aaron","De'Aaron Fox","Fox","38.10294117647059","34","7600","SAC@MIL","SAC","MIL","","","","",""
"43466-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","34.998039694393384","51","7500","BKN@IND","BKN","IND","","","","",""
"43466-66236","PF","John","John Collins","Collins","40.278573172433035","28","7500","ATL@ORL","ATL","ORL","","","","",""
"43466-9714","SG","DeMar","DeMar DeRozan","DeRozan","38.97692401592548","52","7500","SA@DEN","SA","DEN","","","","",""
"43466-16261","SG","Khris","Khris Middleton","Middleton","35.31333279079861","45","7400","SAC@MIL","MIL","SAC","","","","",""
