"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43597-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","57.57958984375","49","11200","MIL@DET","MIL","DET","","","","",""
"43597-9644","SG","James","James Harden","Harden","56.88846059945914","52","11000","HOU@GS","HOU","GS","","","","",""
"43597-9642","PG","Russell","Russell Westbrook","Westbrook","48.35000212296195","46","10600","HOU@GS","HOU","GS","","","","",""
"43597-84671","PG","Trae","Trae Young","Young","46.91153658353365","52","10000","MIA@ATL","ATL","MIA","","","","",""
"43597-49111","C","Joel","Joel Embiid","Embiid","45.175","40","9600","BKN@PHI","PHI","BKN","","","","",""
"43597-40783","SG","Zach","Zach LaVine","LaVine","39.71272638494318","55","9200","CHA@CHI","CHI","CHA","","","","",""
"43597-66115","PG","Ben","Ben Simmons","Simmons","43.544442635995374","54","8900","BKN@PHI","PHI","BKN","","","","",""
"43597-80817","PF","Bam","Bam Adebayo","Adebayo","39.769091796875","55","8500","MIA@ATL","MIA","ATL","","","","",""
"43597-14498","PG","Kyrie","Kyrie Irving","Irving","46.129998779296876","20","8300","BKN@PHI","BKN","PHI","O","Shoulder","","",""
"43597-14528","SG","Jimmy","Jimmy Butler","Butler","42.065956927360375","47","8100","MIA@ATL","MIA","ATL","","","","",""
"43597-80810","PG","De'Aaron","De'Aaron Fox","Fox","38.03333197699653","36","7800","MEM@SAC","SAC","MEM","","","","",""
"43597-66236","PF","John","John Collins","Collins","39.98999837239583","30","7800","MIA@ATL","ATL","MIA","","","","",""
"43597-14503","C","Jonas","Jonas Valanciunas","Valanciunas","33.501960305606616","51","7600","MEM@SAC","MEM","SAC","","","","",""
"43597-49116","SF","Andrew","Andrew Wiggins","Wiggins","36.66444498697917","45","7500","HOU@GS","GS","HOU","","","","",""
"43597-42202","PF","Christian","Christian Wood","Wood","22.062265072228772","53","7400","MIL@DET","DET","MIL","","","","",""
"43597-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","35.250944317511795","53","6900","BKN@PHI","BKN","PHI","","","","",""
"43597-16261","SG","Khris","Khris Middleton","Middleton","35.020833333333336","48","6800","MIL@DET","MIL","DET","","","","",""
"43597-110344","PG","Ja","Ja Morant","Morant","32.91836734693877","49","6700","MEM@SAC","MEM","SAC","","","","",""
"43597-55059","C","Clint","Clint Capela","Capela","38.753846779847755","39","6700","MIA@ATL","ATL","MIA","O","Heel","","",""
"43597-84706","SG","Devonte'","Devonte' Graham","Graham","34.54363680752841","55","6700","CHA@CHI","CHA","CHI","","","","",""
"43597-12355","PG","Eric","Eric Bledsoe","Bledsoe","31.256522800611414","46","6300","MIL@DET","MIL","DET","","","","",""
"43597-14518","SF","Tobias","Tobias Harris","Harris","33.945454545454545","55","6200","BKN@PHI","PHI","BKN","","","","",""
"43597-84683","PF","Jaren","Jaren Jackson","Jackson","30.08490566037736","53","6200","MEM@SAC","MEM","SAC","","","","",""
"43597-23798","SG","Caris","Caris LeVert","LeVert","25.614286150251115","28","6100","BKN@PHI","BKN","PHI","","","","",""
"43597-20491","PF","Robert","Robert Covington","Covington","28.286538931039665","52","6000","HOU@GS","HOU","GS","","","","",""
"43597-67707","C","Marquese","Marquese Chriss","Chriss","21.8460009765625","50","5900","HOU@GS","GS","HOU","","","","",""
"43597-9621","C","Brook","Brook Lopez","Lopez","27.38653799203726","52","5800","MIL@DET","MIL","DET","","","","",""
"43597-84678","SF","Miles","Miles Bridges","Bridges","25.08727361505682","55","5800","CHA@CHI","CHA","CHI","","","","",""
